Supplier_ID,Supplier_Name,Component_ID,Component_Name,Unit_Price,Currency,MOQ,Lead_Time_Days,Quote_Date,Valid_Until,Payment_Terms,Quality_Rating,On_Time_Delivery
SUP-4094,AU Optronics,COMP-86452,Power Supply,32.11,USD,100,91,2024-11-27,2025-03-22,LC at Sight,99.6,93.3
SUP-7229,JDI,COMP-86932,QLED Panel,357.46,EUR,500,41,2024-11-26,2025-05-17,Net 60,98.1,81.0
SUP-3646,LG Display,COMP-80611,QLED Panel,223.37,EUR,500,65,2024-11-10,2025-03-17,Net 60,90.8,84.9
SUP-6552,BOE Technology,COMP-56786,Power Supply,66.88,CNY,200,67,2024-11-23,2025-04-24,30% Deposit,99.0,94.3
SUP-5784,AU Optronics,COMP-26050,Remote Control,12.1,USD,2000,49,2024-11-12,2025-02-18,Net 90,87.2,99.2
SUP-2644,Visionox,COMP-31500,QLED Panel,295.83,EUR,200,112,2024-11-04,2025-01-31,LC at Sight,91.9,96.1
SUP-4823,TCL CSOT,COMP-95812,Power Supply,47.47,USD,2000,113,2024-11-12,2025-01-22,Net 60,93.4,94.6
SUP-5494,Visionox,COMP-23883,OLED Panel,678.94,CNY,500,75,2024-11-24,2025-05-19,Net 60,86.3,91.6
SUP-6700,Innolux,COMP-26559,Bezel,10.55,USD,500,86,2024-11-07,2025-03-02,Net 30,99.9,86.9
SUP-6268,TCL CSOT,COMP-55002,Bezel,18.37,EUR,200,31,2024-11-18,2025-03-24,30% Deposit,95.7,95.3
SUP-2311,Sharp Corporation,COMP-26637,Stand,29.89,CNY,100,91,2024-11-07,2025-01-29,30% Deposit,88.4,85.8
SUP-4940,Visionox,COMP-30537,OLED Panel,361.31,CNY,100,58,2024-11-19,2025-03-14,Net 60,93.7,93.2
SUP-3927,AU Optronics,COMP-22344,OLED Panel,747.06,USD,1000,99,2024-11-12,2025-03-07,Net 90,99.8,99.2
SUP-8725,BOE Technology,COMP-99200,LED Backlight,43.67,CNY,100,30,2024-11-29,2025-03-03,Net 60,87.8,82.7
SUP-3125,LG Display,COMP-79686,Power Supply,39.85,USD,1000,64,2024-11-29,2025-05-25,30% Deposit,88.5,99.2
SUP-1565,Visionox,COMP-50360,Power Supply,79.05,EUR,100,114,2024-11-23,2025-05-13,Net 60,87.7,98.9
SUP-2552,JDI,COMP-27878,Stand,27.98,EUR,2000,112,2024-11-26,2025-02-07,Net 60,87.0,99.0
SUP-7555,AU Optronics,COMP-67788,QLED Panel,329.33,EUR,500,111,2024-11-05,2025-04-24,LC at Sight,90.8,98.7
SUP-5756,Innolux,COMP-14287,Bezel,7.19,USD,1000,112,2024-11-10,2025-04-08,Net 60,94.3,99.3
SUP-4491,BOE Technology,COMP-93031,QLED Panel,277.35,EUR,2000,33,2024-11-01,2025-01-03,30% Deposit,96.9,99.6
SUP-6378,JDI,COMP-52311,Remote Control,4.19,USD,1000,32,2024-11-07,2025-02-22,30% Deposit,93.9,82.6
SUP-4649,TCL CSOT,COMP-41078,Bezel,8.29,USD,200,49,2024-11-01,2025-03-17,LC at Sight,90.0,91.5
SUP-2296,Innolux,COMP-79548,Remote Control,12.0,USD,100,97,2024-11-02,2025-04-18,30% Deposit,93.4,87.7
SUP-3811,Tianma,COMP-31819,Main Board,94.04,CNY,100,74,2024-11-29,2025-03-31,LC at Sight,98.0,91.4
SUP-8314,AU Optronics,COMP-75051,Stand,34.45,USD,100,60,2024-11-27,2025-05-14,Net 60,99.9,86.4
SUP-9500,LG Display,COMP-48000,LED Backlight,45.66,USD,100,52,2024-11-20,2025-05-10,30% Deposit,85.1,83.1
SUP-7915,AU Optronics,COMP-61672,T-Con Board,57.49,USD,2000,107,2024-11-03,2025-03-21,Net 90,85.6,89.5
SUP-4443,Innolux,COMP-55442,QLED Panel,255.77,CNY,2000,84,2024-11-03,2025-04-08,Net 60,85.9,81.9
SUP-5641,Samsung Display,COMP-82906,QLED Panel,341.83,EUR,2000,96,2024-11-13,2025-03-15,Net 30,91.8,81.7
SUP-4870,JDI,COMP-63049,QLED Panel,378.28,EUR,2000,117,2024-11-06,2025-01-12,Net 90,87.4,81.5
SUP-6379,Visionox,COMP-46612,LCD Panel,119.64,CNY,500,34,2024-11-02,2025-03-01,30% Deposit,89.7,84.1
SUP-6655,AU Optronics,COMP-85814,T-Con Board,57.03,USD,500,112,2024-11-15,2025-02-09,Net 60,99.5,100.0
SUP-9672,BOE Technology,COMP-96011,T-Con Board,54.73,USD,100,55,2024-11-09,2025-03-03,Net 30,90.5,80.5
SUP-7288,Innolux,COMP-23089,LCD Panel,187.08,EUR,2000,90,2024-11-26,2025-02-19,LC at Sight,89.3,93.7
SUP-4245,Visionox,COMP-57228,Main Board,39.37,USD,1000,76,2024-11-26,2025-04-08,Net 30,92.2,98.7
SUP-9902,Sharp Corporation,COMP-76251,Bezel,23.52,USD,500,80,2024-11-17,2025-01-28,LC at Sight,98.5,87.8
SUP-7644,AU Optronics,COMP-88863,OLED Panel,279.74,CNY,100,110,2024-11-27,2025-04-15,Net 30,95.0,93.4
SUP-3750,AU Optronics,COMP-22414,T-Con Board,28.2,USD,1000,34,2024-11-22,2025-03-26,Net 60,87.2,87.5
SUP-9466,BOE Technology,COMP-79106,Bezel,23.13,USD,1000,120,2024-11-18,2025-04-17,Net 90,86.3,86.1
SUP-2540,JDI,COMP-49124,T-Con Board,51.57,EUR,2000,59,2024-11-27,2025-04-18,Net 60,93.7,84.4
SUP-1024,AU Optronics,COMP-38910,Stand,19.73,EUR,100,103,2024-11-18,2025-05-09,30% Deposit,86.5,87.4
SUP-1617,Visionox,COMP-85091,LED Backlight,25.45,CNY,500,58,2024-11-08,2025-01-13,LC at Sight,98.1,93.3
SUP-4199,Tianma,COMP-15111,Power Supply,47.03,EUR,100,103,2024-11-29,2025-02-05,Net 60,86.3,87.2
SUP-1661,JDI,COMP-42337,Power Supply,51.86,EUR,1000,38,2024-11-08,2025-01-30,30% Deposit,99.2,87.8
SUP-7955,Sharp Corporation,COMP-17612,LCD Panel,256.28,USD,200,87,2024-11-25,2025-03-11,Net 30,86.2,92.9
SUP-5062,TCL CSOT,COMP-49671,Power Supply,24.27,EUR,200,78,2024-11-29,2025-05-17,Net 60,88.7,91.7
SUP-8876,LG Display,COMP-75219,LED Backlight,25.53,USD,500,50,2024-11-17,2025-04-04,Net 60,93.0,89.2
SUP-8220,Samsung Display,COMP-19922,Power Supply,63.36,EUR,500,102,2024-11-06,2025-02-04,Net 30,87.5,82.4
SUP-7129,Innolux,COMP-99069,OLED Panel,399.0,USD,200,87,2024-11-07,2025-03-23,Net 60,90.2,91.6
SUP-5405,Sharp Corporation,COMP-11320,OLED Panel,223.43,USD,100,84,2024-11-20,2025-04-10,30% Deposit,98.3,92.9
SUP-2265,Sharp Corporation,COMP-32737,Main Board,39.15,USD,500,71,2024-11-06,2025-01-06,Net 90,99.7,82.0
SUP-1306,BOE Technology,COMP-72916,Remote Control,7.8,CNY,200,54,2024-12-01,2025-03-25,Net 60,95.9,85.1
SUP-8985,Sharp Corporation,COMP-36165,Remote Control,3.27,USD,100,119,2024-11-27,2025-03-17,Net 90,98.5,95.6
SUP-9745,Samsung Display,COMP-18704,OLED Panel,673.93,USD,500,93,2024-11-19,2025-04-20,Net 60,97.6,87.1
SUP-3639,AU Optronics,COMP-33910,Main Board,58.55,USD,2000,93,2024-11-27,2025-04-12,30% Deposit,97.6,99.8
SUP-4810,TCL CSOT,COMP-26545,LED Backlight,42.97,USD,500,114,2024-11-23,2025-03-12,Net 60,88.4,97.0
SUP-2622,Sharp Corporation,COMP-10248,Main Board,106.52,USD,500,79,2024-11-13,2025-01-20,LC at Sight,92.6,96.8
SUP-4568,Visionox,COMP-23624,QLED Panel,179.98,USD,1000,85,2024-11-03,2025-04-06,LC at Sight,92.0,86.6
SUP-4518,Innolux,COMP-23154,OLED Panel,410.95,USD,2000,70,2024-11-05,2025-04-09,Net 90,92.0,86.3
SUP-5907,Tianma,COMP-29418,Stand,37.25,USD,100,98,2024-11-06,2025-02-25,Net 90,89.9,93.4
SUP-9085,Sharp Corporation,COMP-77490,OLED Panel,576.89,USD,200,110,2024-11-01,2025-03-27,Net 60,90.1,93.0
SUP-3346,JDI,COMP-17282,Power Supply,61.05,CNY,200,93,2024-11-19,2025-02-04,Net 60,89.0,85.2
SUP-5494,LG Display,COMP-81048,T-Con Board,57.88,USD,500,65,2024-11-10,2025-03-03,30% Deposit,89.8,93.8
SUP-9406,Visionox,COMP-86069,OLED Panel,403.24,CNY,2000,75,2024-11-26,2025-03-28,Net 90,98.4,97.6
SUP-8330,Tianma,COMP-12937,Remote Control,12.19,USD,100,40,2024-11-15,2025-04-13,Net 60,89.1,84.9
SUP-4065,JDI,COMP-67940,OLED Panel,717.29,USD,100,113,2024-11-13,2025-03-13,Net 30,92.0,82.1
SUP-6444,Sharp Corporation,COMP-14648,LCD Panel,174.37,EUR,500,73,2024-11-05,2025-04-01,30% Deposit,94.0,85.3
SUP-9697,Visionox,COMP-24502,Remote Control,4.37,USD,100,76,2024-11-14,2025-03-23,Net 60,91.1,88.7
SUP-6472,AU Optronics,COMP-16503,LED Backlight,26.71,USD,1000,82,2024-11-17,2025-01-25,LC at Sight,90.9,91.1
SUP-7922,LG Display,COMP-71167,LED Backlight,25.69,USD,1000,72,2024-11-11,2025-02-05,Net 90,91.7,87.9
SUP-7238,Visionox,COMP-95322,LED Backlight,15.36,USD,200,108,2024-11-03,2025-04-17,Net 90,96.3,81.5
SUP-5910,Visionox,COMP-46063,LED Backlight,20.59,USD,100,34,2024-11-23,2025-04-08,LC at Sight,90.4,96.0
SUP-7759,TCL CSOT,COMP-13522,Power Supply,48.58,CNY,2000,79,2024-11-11,2025-01-24,30% Deposit,94.4,98.7
SUP-7616,AU Optronics,COMP-18857,LED Backlight,48.81,USD,1000,79,2024-12-01,2025-05-14,Net 30,93.9,80.9
SUP-4005,AU Optronics,COMP-74137,Remote Control,9.11,USD,500,57,2024-11-19,2025-04-14,Net 60,89.7,86.8
SUP-4343,TCL CSOT,COMP-14876,OLED Panel,444.45,EUR,1000,39,2024-11-27,2025-03-12,Net 60,89.5,91.7
SUP-5388,LG Display,COMP-78365,LCD Panel,107.25,USD,100,91,2024-11-16,2025-02-16,30% Deposit,85.0,98.9
SUP-2236,JDI,COMP-78571,Bezel,20.48,USD,200,97,2024-11-04,2025-02-02,LC at Sight,87.5,93.5
SUP-4946,LG Display,COMP-24207,OLED Panel,673.71,USD,1000,81,2024-11-06,2025-05-03,LC at Sight,93.0,88.6
SUP-8675,Visionox,COMP-24807,Bezel,23.06,USD,500,97,2024-11-14,2025-04-18,LC at Sight,97.4,99.3
SUP-2351,TCL CSOT,COMP-92433,Power Supply,79.7,EUR,500,113,2024-11-30,2025-04-13,Net 30,85.3,87.4
SUP-1220,Sharp Corporation,COMP-96200,QLED Panel,233.93,EUR,1000,96,2024-11-14,2025-03-04,Net 90,88.7,85.1
SUP-1563,Samsung Display,COMP-85298,Power Supply,47.55,USD,100,82,2024-11-25,2025-04-28,Net 60,89.3,82.5
SUP-7796,Innolux,COMP-96805,Bezel,7.1,CNY,200,76,2024-11-27,2025-03-27,Net 30,92.8,89.4
SUP-6538,AU Optronics,COMP-26583,T-Con Board,25.08,USD,2000,89,2024-11-01,2025-01-25,LC at Sight,87.8,87.3
SUP-5539,Sharp Corporation,COMP-65940,T-Con Board,33.63,CNY,200,112,2024-11-26,2025-04-17,LC at Sight,98.4,98.8
SUP-2472,JDI,COMP-22324,Stand,21.06,CNY,500,67,2024-11-01,2025-01-06,Net 30,92.8,81.8
SUP-8970,LG Display,COMP-41765,LCD Panel,165.97,EUR,2000,65,2024-11-26,2025-04-18,Net 90,99.7,96.3
SUP-8062,Samsung Display,COMP-10899,T-Con Board,19.72,CNY,500,89,2024-11-08,2025-04-10,30% Deposit,88.7,88.9
SUP-1116,Tianma,COMP-85896,LED Backlight,49.6,USD,200,109,2024-11-16,2025-04-05,Net 30,89.8,95.6
SUP-5984,Visionox,COMP-50903,T-Con Board,16.21,EUR,1000,113,2024-11-13,2025-01-31,Net 60,98.4,82.0
SUP-6394,LG Display,COMP-43575,OLED Panel,422.91,USD,1000,78,2024-11-04,2025-02-22,LC at Sight,87.9,95.5
SUP-4237,BOE Technology,COMP-58018,Remote Control,6.62,USD,100,43,2024-11-19,2025-04-05,Net 30,85.1,83.0
SUP-3512,LG Display,COMP-34992,LED Backlight,47.88,USD,500,84,2024-11-14,2025-01-23,30% Deposit,87.1,91.7
SUP-9776,JDI,COMP-47673,LED Backlight,32.43,CNY,500,50,2024-11-21,2025-05-18,Net 30,98.1,98.3
SUP-9249,LG Display,COMP-60648,T-Con Board,27.81,EUR,500,107,2024-11-07,2025-04-10,Net 90,94.2,84.8
SUP-1830,Tianma,COMP-70033,T-Con Board,55.21,CNY,100,76,2024-11-23,2025-05-06,30% Deposit,94.8,89.0
SUP-1680,Samsung Display,COMP-71963,T-Con Board,32.26,USD,2000,105,2024-11-21,2025-01-26,Net 30,90.4,88.1
SUP-6113,TCL CSOT,COMP-81555,T-Con Board,42.14,USD,200,86,2024-11-06,2025-01-14,30% Deposit,88.5,87.4
SUP-9603,TCL CSOT,COMP-93627,OLED Panel,270.22,USD,2000,48,2024-11-26,2025-04-16,Net 60,95.8,89.2
SUP-4884,Samsung Display,COMP-75938,Bezel,11.78,USD,100,97,2024-11-06,2025-01-26,Net 90,99.7,90.1
SUP-3205,Visionox,COMP-17779,Remote Control,13.43,USD,500,67,2024-11-20,2025-04-05,Net 60,94.8,95.3
SUP-2827,LG Display,COMP-32113,Main Board,111.66,CNY,500,47,2024-11-17,2025-03-09,Net 60,97.3,86.8
SUP-8987,JDI,COMP-94742,OLED Panel,795.1,CNY,1000,75,2024-11-04,2025-01-15,Net 90,93.7,99.2
SUP-4868,Innolux,COMP-64719,Main Board,72.35,CNY,2000,112,2024-11-30,2025-02-17,30% Deposit,92.9,88.2
SUP-4783,Tianma,COMP-80375,Main Board,94.58,CNY,2000,111,2024-11-21,2025-05-06,Net 60,85.6,92.7
SUP-4757,JDI,COMP-27896,Power Supply,47.44,USD,100,42,2024-11-23,2025-02-09,Net 30,98.9,80.9
SUP-5180,TCL CSOT,COMP-32530,Bezel,8.16,EUR,200,66,2024-11-19,2025-03-12,Net 30,87.3,86.4
SUP-8380,Visionox,COMP-99728,LCD Panel,61.26,USD,2000,66,2024-11-27,2025-03-22,Net 30,95.7,85.4
SUP-9661,Tianma,COMP-35938,T-Con Board,53.75,EUR,100,59,2024-11-23,2025-03-23,Net 30,85.4,84.8
SUP-1779,LG Display,COMP-21319,Stand,38.35,EUR,2000,72,2024-11-12,2025-02-15,Net 30,89.5,92.6
SUP-5661,TCL CSOT,COMP-53057,LCD Panel,161.33,USD,100,70,2024-11-04,2025-02-08,LC at Sight,95.9,91.4
SUP-4941,Innolux,COMP-74621,LED Backlight,46.1,USD,1000,61,2024-11-15,2025-05-04,Net 30,88.0,88.8
SUP-1963,TCL CSOT,COMP-16632,OLED Panel,323.4,CNY,500,108,2024-11-12,2025-05-06,LC at Sight,99.5,89.4
SUP-3129,JDI,COMP-72537,Bezel,23.7,USD,1000,37,2024-12-01,2025-05-13,Net 30,91.0,98.9
SUP-6056,Tianma,COMP-18538,Power Supply,43.58,USD,2000,35,2024-11-18,2025-03-29,LC at Sight,96.7,92.7
SUP-3498,Visionox,COMP-91532,LCD Panel,230.83,USD,1000,110,2024-11-17,2025-05-14,LC at Sight,91.6,95.1
SUP-6017,LG Display,COMP-67395,QLED Panel,102.85,USD,2000,97,2024-11-03,2025-01-14,LC at Sight,99.7,84.3
SUP-2322,Innolux,COMP-15739,OLED Panel,619.98,USD,1000,54,2024-11-22,2025-01-24,LC at Sight,88.4,82.8
SUP-2388,TCL CSOT,COMP-66708,Bezel,23.22,USD,1000,72,2024-11-29,2025-04-15,Net 60,94.0,84.3
SUP-7845,Visionox,COMP-14533,QLED Panel,300.45,USD,1000,41,2024-11-04,2025-01-03,Net 90,87.4,84.3
SUP-3881,Samsung Display,COMP-43778,QLED Panel,308.49,USD,200,89,2024-11-27,2025-04-17,Net 60,99.2,91.3
SUP-4927,Samsung Display,COMP-32824,LCD Panel,196.67,USD,100,55,2024-11-29,2025-03-09,Net 90,96.4,90.5
SUP-8527,Innolux,COMP-20442,Stand,26.08,USD,2000,50,2024-11-14,2025-05-13,Net 90,88.0,96.6
SUP-7128,AU Optronics,COMP-23618,Main Board,113.63,USD,500,83,2024-11-15,2025-02-03,Net 90,86.3,81.2
SUP-1434,Tianma,COMP-14733,OLED Panel,264.21,USD,1000,92,2024-11-26,2025-02-28,Net 60,99.4,80.5
SUP-5480,Innolux,COMP-21255,LED Backlight,25.11,CNY,200,49,2024-11-06,2025-04-29,Net 30,95.9,81.7
SUP-2286,Visionox,COMP-38668,LED Backlight,32.42,CNY,2000,106,2024-11-02,2025-04-17,Net 90,94.5,99.9
SUP-8883,Samsung Display,COMP-64621,Remote Control,4.13,USD,500,59,2024-11-22,2025-04-14,Net 60,91.8,80.5
SUP-1642,Tianma,COMP-49665,Remote Control,13.81,EUR,500,78,2024-11-16,2025-04-10,30% Deposit,85.1,84.1
SUP-4947,Samsung Display,COMP-15345,T-Con Board,42.77,CNY,2000,36,2024-11-02,2025-04-26,Net 60,91.5,98.6
SUP-4068,Innolux,COMP-92996,OLED Panel,494.32,EUR,100,100,2024-11-19,2025-03-15,Net 90,97.4,99.0
SUP-1983,AU Optronics,COMP-61418,Main Board,52.88,EUR,100,56,2024-11-24,2025-03-20,Net 30,90.4,97.9
SUP-7008,LG Display,COMP-48789,Remote Control,9.54,USD,100,83,2024-11-28,2025-05-25,30% Deposit,85.3,87.8
SUP-7603,JDI,COMP-46798,Bezel,20.09,USD,1000,43,2024-11-26,2025-03-07,LC at Sight,91.8,90.9
SUP-9109,Visionox,COMP-32727,LCD Panel,248.3,USD,1000,89,2024-11-27,2025-03-09,30% Deposit,98.5,87.1
SUP-6921,Sharp Corporation,COMP-70620,Power Supply,21.85,CNY,2000,84,2024-11-20,2025-04-27,Net 30,91.4,92.3
SUP-1543,Visionox,COMP-49032,OLED Panel,363.97,USD,1000,50,2024-11-18,2025-04-27,Net 60,97.3,82.4
SUP-5820,Innolux,COMP-27844,Stand,10.94,USD,200,98,2024-11-03,2025-04-21,Net 60,92.3,92.5
SUP-9342,AU Optronics,COMP-11322,Power Supply,41.44,CNY,1000,87,2024-11-08,2025-02-09,Net 90,92.8,81.0
SUP-7281,BOE Technology,COMP-51983,Power Supply,50.63,CNY,100,81,2024-11-12,2025-04-18,Net 90,85.5,95.0
SUP-7520,Tianma,COMP-35584,QLED Panel,418.95,USD,200,65,2024-11-03,2025-03-20,Net 60,97.4,91.2
SUP-8940,JDI,COMP-84946,Remote Control,10.0,CNY,100,46,2024-11-26,2025-04-06,LC at Sight,89.5,97.2
SUP-4358,Tianma,COMP-31378,LED Backlight,42.31,CNY,200,102,2024-11-10,2025-01-19,LC at Sight,99.5,90.6
SUP-1597,BOE Technology,COMP-55940,LCD Panel,243.88,USD,200,113,2024-11-06,2025-01-25,Net 90,96.4,89.3
SUP-8394,BOE Technology,COMP-29308,Remote Control,10.0,USD,100,102,2024-11-11,2025-02-22,LC at Sight,93.0,85.0
SUP-6802,Tianma,COMP-44565,QLED Panel,107.32,CNY,100,53,2024-11-17,2025-03-05,30% Deposit,97.7,92.3
SUP-6838,JDI,COMP-42607,Power Supply,22.66,USD,2000,44,2024-11-23,2025-02-27,Net 90,96.5,89.8
SUP-4836,Visionox,COMP-17832,LCD Panel,110.13,EUR,200,48,2024-11-17,2025-05-05,Net 30,91.8,91.6
SUP-4623,Sharp Corporation,COMP-31991,T-Con Board,47.82,USD,200,79,2024-11-27,2025-03-28,Net 60,88.1,95.9
SUP-2533,LG Display,COMP-93505,T-Con Board,32.12,EUR,1000,51,2024-11-21,2025-04-03,Net 60,99.6,94.1
SUP-6364,Sharp Corporation,COMP-13944,OLED Panel,263.69,USD,100,74,2024-11-11,2025-03-17,LC at Sight,94.3,92.0
SUP-8894,LG Display,COMP-10444,OLED Panel,414.02,USD,500,101,2024-11-10,2025-04-06,LC at Sight,95.6,97.5
SUP-3864,LG Display,COMP-16014,Power Supply,73.79,EUR,200,57,2024-11-13,2025-02-13,LC at Sight,88.3,96.3
SUP-3921,LG Display,COMP-64267,T-Con Board,46.58,USD,1000,42,2024-11-15,2025-05-12,Net 90,90.5,87.4
SUP-6361,Samsung Display,COMP-89031,Remote Control,12.92,EUR,200,71,2024-11-15,2025-01-21,Net 60,90.0,95.5
SUP-2642,JDI,COMP-13379,Remote Control,4.94,USD,2000,52,2024-11-04,2025-03-02,Net 90,98.7,97.5
SUP-7976,Tianma,COMP-17820,Power Supply,33.99,CNY,500,70,2024-11-29,2025-02-18,Net 60,85.3,92.8
SUP-1627,LG Display,COMP-63492,Bezel,24.14,USD,2000,94,2024-11-16,2025-04-05,30% Deposit,93.1,96.1
SUP-2081,Tianma,COMP-39288,Bezel,14.88,USD,2000,105,2024-11-30,2025-05-19,30% Deposit,96.5,89.3
SUP-9090,Visionox,COMP-10428,LED Backlight,12.08,USD,500,97,2024-12-01,2025-01-31,30% Deposit,92.4,88.4
SUP-6161,Tianma,COMP-67039,Power Supply,53.15,USD,2000,72,2024-11-27,2025-05-04,Net 30,91.5,88.3
SUP-6748,AU Optronics,COMP-47938,Bezel,9.97,EUR,500,74,2024-11-23,2025-04-06,LC at Sight,86.0,87.3
SUP-8678,Sharp Corporation,COMP-34637,LCD Panel,278.34,EUR,2000,83,2024-11-04,2025-03-25,Net 30,88.6,99.1
SUP-1635,JDI,COMP-61392,LED Backlight,30.28,USD,100,63,2024-11-25,2025-01-24,LC at Sight,93.9,88.1
SUP-5884,Visionox,COMP-25939,Power Supply,58.77,USD,200,59,2024-11-20,2025-02-21,30% Deposit,99.4,97.0
SUP-1665,AU Optronics,COMP-36322,Bezel,19.11,CNY,1000,82,2024-11-16,2025-04-06,Net 30,95.5,91.7
SUP-6470,AU Optronics,COMP-32801,Remote Control,3.9,USD,200,46,2024-11-19,2025-02-13,30% Deposit,88.7,82.3
SUP-4766,LG Display,COMP-68027,LED Backlight,43.73,EUR,1000,53,2024-11-25,2025-03-09,30% Deposit,87.9,83.9
SUP-2660,AU Optronics,COMP-52020,LCD Panel,287.91,USD,500,82,2024-11-22,2025-01-24,Net 60,89.2,81.8
SUP-3454,AU Optronics,COMP-29617,Bezel,17.38,EUR,100,76,2024-11-28,2025-05-04,Net 60,89.2,86.0
SUP-9791,BOE Technology,COMP-81601,LED Backlight,20.96,USD,500,66,2024-11-12,2025-05-04,Net 60,90.4,84.6
SUP-5556,AU Optronics,COMP-58859,Stand,28.0,USD,500,55,2024-11-20,2025-03-30,Net 90,85.6,84.3
SUP-2941,BOE Technology,COMP-43946,T-Con Board,44.15,EUR,200,49,2024-11-29,2025-02-06,LC at Sight,86.3,89.9
SUP-5836,BOE Technology,COMP-62174,Remote Control,8.06,USD,100,77,2024-11-10,2025-04-21,LC at Sight,98.3,90.2
SUP-4092,AU Optronics,COMP-35872,Remote Control,12.59,USD,1000,76,2024-11-11,2025-02-13,Net 30,92.7,97.6
SUP-1858,BOE Technology,COMP-34830,Bezel,17.19,USD,1000,71,2024-11-14,2025-05-03,Net 60,87.9,91.3
SUP-3155,TCL CSOT,COMP-41922,Stand,9.47,USD,100,117,2024-11-25,2025-02-02,Net 90,97.1,89.2
SUP-6895,BOE Technology,COMP-60928,LED Backlight,17.77,CNY,2000,32,2024-11-11,2025-01-12,LC at Sight,93.5,91.1
SUP-5641,Samsung Display,COMP-87198,OLED Panel,752.1,EUR,200,33,2024-11-17,2025-05-09,30% Deposit,86.0,86.0
SUP-6536,JDI,COMP-48174,Main Board,64.77,USD,100,38,2024-11-24,2025-02-19,Net 30,96.4,80.8
SUP-9128,BOE Technology,COMP-72642,Stand,19.98,USD,2000,45,2024-11-09,2025-04-21,Net 30,97.4,80.2
SUP-9704,TCL CSOT,COMP-95793,LCD Panel,262.91,CNY,100,66,2024-11-14,2025-02-24,Net 30,93.7,97.2
SUP-6235,JDI,COMP-67348,LCD Panel,103.91,EUR,500,82,2024-11-14,2025-01-18,30% Deposit,98.8,94.0
SUP-1333,JDI,COMP-94440,QLED Panel,422.51,CNY,1000,110,2024-11-21,2025-03-22,Net 60,93.8,91.4
SUP-4427,Sharp Corporation,COMP-79702,Bezel,18.87,USD,200,76,2024-11-10,2025-02-27,Net 60,91.1,86.3
SUP-5562,TCL CSOT,COMP-67655,OLED Panel,387.65,USD,100,49,2024-11-01,2025-03-18,Net 60,92.5,88.1
SUP-3475,Innolux,COMP-93376,QLED Panel,489.39,EUR,1000,74,2024-11-03,2025-02-16,Net 30,92.3,93.0
SUP-2930,JDI,COMP-47623,T-Con Board,16.82,USD,100,96,2024-11-06,2025-04-25,LC at Sight,88.1,87.9
SUP-4657,Tianma,COMP-19495,Power Supply,24.78,USD,100,73,2024-11-01,2025-04-21,LC at Sight,96.4,86.4
SUP-6018,TCL CSOT,COMP-90684,Bezel,17.93,USD,100,40,2024-11-12,2025-01-25,30% Deposit,89.3,91.6
SUP-4881,Tianma,COMP-52244,Remote Control,9.04,CNY,100,65,2024-11-15,2025-01-16,30% Deposit,91.3,92.8
SUP-5288,AU Optronics,COMP-27795,Bezel,18.85,USD,100,105,2024-11-07,2025-04-12,Net 60,88.5,85.4
SUP-9271,Innolux,COMP-48509,Main Board,111.46,EUR,500,81,2024-11-18,2025-04-20,Net 60,93.1,84.7
SUP-4834,BOE Technology,COMP-71783,LED Backlight,18.21,USD,1000,69,2024-11-05,2025-04-26,Net 60,94.1,87.3
SUP-2092,BOE Technology,COMP-37255,Bezel,21.94,EUR,500,75,2024-12-01,2025-02-05,Net 60,92.8,89.7
SUP-6492,Sharp Corporation,COMP-96565,QLED Panel,346.52,CNY,500,95,2024-11-08,2025-01-10,30% Deposit,96.3,92.2
SUP-8894,Innolux,COMP-99923,T-Con Board,54.22,CNY,2000,109,2024-11-25,2025-03-03,LC at Sight,98.5,84.2
SUP-7806,TCL CSOT,COMP-44456,Stand,30.11,USD,100,85,2024-11-15,2025-01-31,Net 90,87.9,96.5
SUP-6261,Tianma,COMP-32144,Stand,27.82,USD,100,114,2024-11-21,2025-02-26,Net 30,86.5,95.7
SUP-2746,TCL CSOT,COMP-72650,OLED Panel,336.76,USD,500,89,2024-11-11,2025-02-15,Net 90,97.1,90.3
SUP-4407,LG Display,COMP-20923,OLED Panel,206.01,USD,100,82,2024-11-29,2025-05-01,30% Deposit,97.5,94.1
SUP-1155,Innolux,COMP-46630,Remote Control,13.35,CNY,2000,37,2024-11-16,2025-01-15,Net 60,94.9,83.5
SUP-9459,TCL CSOT,COMP-18800,Stand,13.53,USD,100,32,2024-12-01,2025-04-06,LC at Sight,88.7,91.5
SUP-7066,BOE Technology,COMP-20381,Remote Control,7.47,USD,1000,53,2024-11-11,2025-02-12,Net 60,92.5,82.6
SUP-7346,Tianma,COMP-46602,OLED Panel,299.79,EUR,200,69,2024-11-26,2025-03-25,30% Deposit,88.9,90.8
SUP-6217,Tianma,COMP-34052,Remote Control,7.79,CNY,200,81,2024-11-04,2025-04-05,30% Deposit,86.4,83.4
SUP-2353,Visionox,COMP-14988,OLED Panel,747.09,USD,100,63,2024-11-30,2025-04-11,Net 90,98.5,94.0
SUP-4078,TCL CSOT,COMP-67425,Power Supply,32.78,USD,2000,71,2024-11-15,2025-03-16,Net 90,93.2,90.1
SUP-8097,Innolux,COMP-41641,Main Board,48.85,USD,2000,75,2024-11-30,2025-05-07,LC at Sight,93.6,82.5
SUP-4786,BOE Technology,COMP-47150,QLED Panel,157.16,USD,1000,73,2024-11-09,2025-04-26,Net 60,90.1,98.5
